year,Belgium,Bulgaria,Czechia,Denmark,Germany,Estonia,Ireland,Greece,Spain,France,Croatia,Italy,Cyprus,Latvia,Lithuania,Luxembourg,Hungary,Malta,Netherlands,Austria,Poland,Portugal,Romania,Slovenia,Slovakia,Finland,Sweden,Iceland,Liechtenstein,Norway,Switzerland,United Kingdom,Montenegro,North Macedonia,Albania,Serbia,Turkey
2010,3406.09,564.55,2312.23,4830.2,29075.97,621.1,5327.01,672.9,5877.1,23576.31,623.88,10573.18,150.98,625.24,1278.13,281.79,1321.86,,11626.12,2771.02,9002.41,1828.85,903.75,519.5,799.95,2288.56,2862.21,,,,,13581.9,,,,,
2011,3446.39,549.13,2366.1,4799.9,29764.48,642.3,5536.45,639,5838.2,24697.75,626.41,10479.65,152.86,661.93,1317.44,281.04,1307.92,,11641.7,2895.52,9309.16,1841.79,897.35,525.59,811.5,2255.31,2850.4,,,,3446,13804.5,,,,,
2012,3412.01,513.98,2428.77,4926.8,29703.46,665.09,5379.3,637.4,6089.03,24252.76,602.36,10597.57,153.5,718.36,1359.92,277.53,1398.24,,11675.4,2964.25,9857.66,1861.4,887.85,535.06,851.25,2254.04,2861.17,,,,3444.16,13590.7,23.3,,,,7932.5
2013,3474.77,510.99,2358.42,5025.8,30301.34,705.5,5581.14,606.6,5948.8,23994.45,503.85,10397.47,157.08,735.66,1339.39,286.91,1364.23,40.92,12212.7,2932.93,9921.66,1777.09,882.38,516.97,826.64,2286.8,2869.58,,,,3399.69,13687.4,25.3,,,,7938.5
2014,3689.44,494.54,2370.2,5109.7,31375.28,729.96,5801.96,614.6,6647.28,25275.72,522.69,11044.11,164.55,804.4,1435.5,305.54,1470.19,42.77,12473.02,3062.13,10602.48,1866.62,996.65,531.69,843.7,2357.15,2931.25,,,,3511.67,14828.8,25.6,,95.1,817.77,8625.7
2015,3988.15,488.5,2481.55,5278.2,31879.13,720.4,6585.09,602.6,6764.73,25402.28,513.41,11159.2,172.68,807.66,1438.03,332.52,1536.06,41.57,13331,3103.08,10874.28,1935.42,919.3,553.68,864.63,2394.32,2933.16,,,1569.5,3457.43,15191,23.4,,105.2,861.81,8934.2
2016,3881.63,524.04,2793.2,5364.2,31972.73,714.72,6853.5,601.5,6938.97,24715.26,489.65,11490.24,200.4,814.01,1416.3,361.99,1547.14,43.13,14324,3098,11140.22,1849.38,951.95,574.71,822.74,2389.53,2862.23,,,1572.1,3406.8,14542.13,23.8,,102.9,844.63,9213.5
2017,4025.42,578.79,2979.34,5506.3,31937.02,726.79,7480.4,602.5,7027.67,24596.75,476.77,11902.24,216.37,831.78,1403.06,374.35,1545.46,41.03,14296,3190.33,11646.05,1848.17,1027.83,578.85,825.89,2365.9,2816.66,,,1542.9,3409.54,15144.67,25.4,,109.6,862.08,9111.7
2018,4178.89,643,3033.02,5615,32490.95,748.07,7812.6,620.9,7117.01,24623.44,453.46,12070.75,228.08,780.65,1366.6,394.78,1535.3,40.41,13881,3182.9,11952.6,1866.82,1120.41,570.64,817.11,2353.69,2760.23,,,1565.2,3426.38,15188.1,28,113.83,120.6,867.14,10034.2
2019,4288.23,651.51,3073.49,5615,32442.21,763.12,8225.7,632.97,7251.37,24617.95,435.61,12086.47,238.76,785.19,1358.09,,1575.72,41.27,13802.16,3139.8,12183.03,1900.7,1125.3,563.97,814.3,2329.66,2704.39,,,1526.4,3372.09,15428.59,27.93,104.72,123.7,,9506
2020,4431,680.54,3192.02,5666,32552.12,787.58,8541.7,652.65,7449.67,24682.81,434.22,12556.46,275.16,790.5,1359.75,,1625.67,42.11,13986.7,3137.19,12464.78,1921.99,1132.01,580.11,832.24,2362.13,2772.74,,,1545.03,3379.15,,,,101.32,907.66,9841.1
2021,4380.84,664.87,3128.74,5644,31942.37,799.24,9021.1,665.92,7476.92,24307.67,428.67,13042.03,298.14,812.65,1348.86,,1739.26,39.54,13686.88,3153.83,12521.18,1920.15,1128.1,588.77,824.18,2271.9,2782.22,,,1575.5,3380.72,,,,93.86,891.79,10051.9
